sequence,AccelerometerX,AccelerometerY,AccelerometerZ
930,1947,-2517,-261
931,1947,-2628,-261
932,1962,-2628,-18
933,1962,-2523,174
934,1917,-2577,174
935,1731,-2577,465
936,1731,-2874,777
937,1695,-2874,777
938,1695,-2706,963
939,1449,-2529,963
940,1317,-2529,1077
941,1317,-2604,1422
942,1284,-2781,1422
943,1284,-2781,1653
944,1086,-2484,1653
945,915,-2484,1800
946,915,-2130,1941
947,1023,-2190,1941
948,924,-2190,2154
949,924,-2394,2154
950,1044,-2394,2502
951,1044,-2364,2742
952,966,-2022,2742
953,1095,-2022,2883
954,1095,-1653,2967
955,801,-1653,2967
956,801,-1974,3063
957,684,-1899,3063
958,528,-1899,3153
959,528,-2052,3285
960,372,-2055,3285
961,372,-2055,3258
962,573,-1839,3258
963,594,-1839,3345
964,594,-1851,3384
965,699,-1761,3384
966,630,-1761,3498
967,630,-1758,3498
968,348,-1758,3540
969,348,-1629,3621
970,294,-1473,3621
971,138,-1473,3600
972,138,-1356,3609
973,213,-1356,3609
974,213,-1320,3591
975,237,-1218,3591
976,246,-1218,3729
977,246,-1086,3912
978,-27,-639,3912
979,-27,-639,4218
980,-459,-507,4218
981,-966,-507,4368
982,-966,-519,4563
983,-966,-237,4563
984,-1005,-237,4818
985,-1005,-153,4818
986,-930,-153,4884
987,-930,-249,4920
988,-861,-342,4920
989,-765,-342,4989
990,-765,-321,5004
991,-936,-321,5004
992,-936,-483,4950
993,-1068,-666,4950
994,-975,-666,4794
995,-975,-642,4653
996,-873,-729,4653
997,-873,-729,4458
998,-630,-798,4458
999,-273,-798,4362
1000,-273,-750,4173
1001,3,-759,4173
1002,132,-759,3915
1003,132,-861,3915
1004,99,-861,3897
1005,99,-975,3786
1006,99,-999,3786
1007,-84,-999,3771
1008,-84,-1104,3711
1009,-66,-1104,3711
1010,-66,-1077,3771
1011,-33,-1041,3771
1012,72,-1041,3795
1013,72,-966,3897
1014,96,-804,3897
1015,96,-804,4125
1016,-51,-498,4125
1017,-411,-498,4347
1018,-411,-606,4533
1019,-540,-615,4533
1020,-555,-615,4710
1021,-555,-510,4710
1022,-993,-510,4770
1023,-993,-528,4950
1024,-1533,-597,4950
1025,-1371,-597,5376
1026,-1371,-657,5460
1027,-942,-657,5460
1028,-942,-546,5109
1029,-879,-639,5109
1030,-696,-639,4899
1031,-696,-663,4794
1032,-585,-732,4794
1033,-585,-732,4839
1034,-678,-957,4839
1035,-702,-957,4638
1036,-702,-1104,4488
1037,-342,-840,4488
1038,-393,-840,4131
1039,-393,-750,4131
1040,-231,-750,3951
1041,-231,-840,3615
1042,-216,-969,3615
1043,129,-969,3408
1044,129,-1245,3138
1045,492,-1245,3138
1046,492,-1470,2904
1047,621,-1566,2904
1048,759,-1566,2793
1049,759,-1635,2505
1050,888,-1785,2505
1051,888,-1785,2184
1052,1191,-2091,2184
1053,1503,-2091,2049
1054,1503,-2097,1893
1055,1386,-2109,1893
1056,1569,-2109,1614
1057,1569,-2385,1524
1058,1431,-2385,1524
1059,1431,-2511,1332
1060,1620,-2547,1332
1061,1596,-2547,996
1062,1596,-2607,780
1063,2079,-2586,780
1064,2079,-2586,540
1065,2010,-2373,540
1066,1884,-2373,315
1067,1884,-2445,-18
1068,1728,-2595,-18
1069,1728,-2595,-96
1070,2139,-2679,-96
1071,2205,-2679,-291
1072,2205,-2574,-477
1073,2004,-2538,-477
1074,2238,-2538,-705
1075,2238,-2502,-840
1076,2427,-2502,-840
1077,2427,-2523,-984
1078,2334,-2259,-984
1079,2325,-2259,-1542
1080,2325,-1917,-1926
1081,2334,-1917,-1926
1082,2334,-1908,-2169
1083,2673,-1965,-2169
1084,2817,-1965,-2343
1085,2817,-1932,-2619
1086,2742,-1851,-2619
1087,2742,-1851,-2805
1088,2586,-1671,-2805
1089,2397,-1671,-3027
1090,2397,-1674,-3090
1091,2571,-1980,-3090
1092,2853,-1980,-3051
1093,2853,-1902,-3051
1094,2739,-1902,-3060
1095,2739,-1611,-3021
1096,2760,-1362,-3021
1097,2691,-1362,-3210
1098,2691,-1422,-3030
1099,2805,-1422,-3030
1100,2805,-1599,-3015
1101,2541,-996,-3015
1102,2220,-996,-3075
1103,2220,-807,-3387
1104,2358,-921,-3387
1105,2358,-921,-3363
1106,2478,-885,-3363
1107,2439,-885,-3543
1108,2439,-780,-3843
1109,2376,-720,-3843
1110,2607,-720,-4128
1111,2607,-843,-4296
1112,2760,-843,-4296
1113,2760,-1032,-4410
1114,2904,-1104,-4410
1115,2835,-1104,-4542
1116,2835,-1059,-4461
1117,2781,-1059,-4461
1118,2781,-915,-4179
1119,2586,-840,-4179
1120,2517,-840,-4065
1121,2517,-678,-3954
1122,2361,-678,-3954
1123,2361,-678,-3798
1124,2430,-561,-3798
1125,2433,-561,-3762
1126,2433,-453,-3687
1127,2454,-588,-3687
1128,2547,-588,-3753
1129,2547,-606,-3813
1130,2640,-606,-3813
1131,2640,-549,-3723
1132,2733,-594,-3723
1133,2742,-594,-3672
1134,2742,-522,-3603
1135,2640,-522,-3603
1136,2640,-528,-3528
1137,2523,-507,-3528
1138,2502,-507,-3408
1139,2502,-393,-3315
1140,2325,-453,-3315
1141,2325,-453,-3225
1142,2358,-447,-3225
1143,2325,-447,-3216
1144,2325,-432,-3225
1145,2244,-498,-3225
1146,2310,-498,-3141
1147,2310,-372,-3141
1148,2310,-372,-3192
1149,2310,-444,-3156
1150,2325,-432,-3156
1151,2349,-432,-3195
1152,2349,-507,-3261
1153,2409,-507,-3261
1154,2409,-480,-3225
1155,2466,-492,-3225
1156,2430,-492,-3222
1157,2430,-492,-3231
1158,2427,-444,-3231
1159,2427,-444,-3297
1160,2367,-447,-3297
1161,2382,-447,-3327
1162,2382,-432,-3237
1163,2463,-516,-3237
1164,2364,-516,-3141
1165,2364,-453,-3225
1166,2346,-453,-3225
1167,2346,-402,-3252
1168,2466,-447,-3252
1169,2568,-447,-3231
1170,2568,-444,-3207
1171,2610,-444,-3207
1172,2610,-363,-3210
1173,2592,-363,-3210
1174,2577,-363,-3237
1175,2577,-402,-3261
1176,2526,-342,-3261
1177,2526,-342,-3207
1178,2523,-501,-3207
1179,2457,-501,-3060
1180,2457,-399,-3222
1181,2469,-357,-3222
1182,2433,-357,-3231
1183,2433,-363,-3231
1184,2448,-363,-3222
1185,2448,-396,-3207
1186,2481,-354,-3207
1187,2481,-354,-3195
1188,2481,-402,-3276
1189,2619,-420,-3276
1190,2619,-420,-3261
1191,2604,-366,-3261
1192,2673,-366,-3237
1193,2673,-354,-3261
1194,2571,-351,-3261
1195,2571,-351,-3195
1196,2547,-384,-3195
1197,2520,-384,-3192
1198,2520,-396,-3195
1199,2565,-333,-3195
1200,2568,-333,-3192
1201,2568,-375,-3165
1202,2610,-375,-3165
